variant,subset,n_eval,em_mean,f1_mean,hit@10_rate,entailment_faithfulness_rate,entailment_score_mean
A (Conservative),All samples,3000,,,,0.06666666666666667,0.17023873087891844
B (Answer-Seeking),All samples,3000,,,,0.3606666666666667,0.34574264948720035
A (Conservative),Gold only,1035,0.000966183574879227,0.004834199308339448,0.2995169082125604,0.050241545893719805,0.16414927077549396
B (Answer-Seeking),Gold only,1035,0.002898550724637681,0.034697418393429734,0.2995169082125604,0.3516908212560386,0.3376149113427798
